167503724573,TYPE_DECL,,<empty>,<empty>,<empty>,1,consumer.py,consumer.py:<module>.process_recognition,<empty>,ANY,false,21,process_recognition,474,776,2
167503724574,TYPE_DECL,,<empty>,<empty>,<empty>,1,consumer.py,consumer.py:<module>.main,<empty>,ANY,false,29,main,776,1575,4
167503724575,TYPE_DECL,,<empty>,<empty>,<empty>,1,consumer.py,consumer.py:<module>,<empty>,ANY,false,1,<module>,0,1626,2
167503724576,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\__init__.py,core\\__init__.py:<module>,<empty>,ANY,false,1,<module>,1,1,2
167503724577,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\admin.py,core\\admin.py:<module>,<empty>,ANY,false,1,<module>,0,131,2
167503724578,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\apps.py,core\\apps.py:<module>.CoreConfig<meta>,<empty>,ANY,false,4,CoreConfig<meta>,36,140,1
167503724579,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\apps.py,core\\apps.py:<module>.CoreConfig,<empty>,AppConfig,false,4,CoreConfig,36,140,2
167503724580,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\apps.py,core\\apps.py:<module>.CoreConfig.<body>,<empty>,ANY,false,4,<body>,36,140,2
167503724581,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\apps.py,core\\apps.py:<module>.CoreConfig.<metaClassCallHandler>,<empty>,ANY,false,4,<metaClassCallHandler>,36,140,2
167503724582,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\apps.py,core\\apps.py:<module>.CoreConfig.<fakeNew>,<empty>,ANY,false,4,<fakeNew>,36,140,4
167503724583,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\apps.py,core\\apps.py:<module>,<empty>,ANY,false,1,<module>,0,140,2
167503724584,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\management\\__init__.py,core\\management\\__init__.py:<module>,<empty>,ANY,false,1,<module>,1,1,2
167503724585,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\management\\commands\\__init__.py,core\\management\\commands\\__init__.py:<module>,<empty>,ANY,false,1,<module>,1,1,2
167503724586,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\management\\commands\\create_admin.py,core\\management\\commands\\create_admin.py:<module>.Command<meta>,<empty>,ANY,false,5,Command<meta>,101,710,1
167503724587,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\management\\commands\\create_admin.py,core\\management\\commands\\create_admin.py:<module>.Command,<empty>,BaseCommand,false,5,Command,101,710,2
167503724588,TYPE_DECL,,<empty>,<empty>,<empty>,5,core\\management\\commands\\create_admin.py,core\\management\\commands\\create_admin.py:<module>.Command.add_arguments,<empty>,ANY,false,8,add_arguments,207,379,3
167503724589,TYPE_DECL,,<empty>,<empty>,<empty>,5,core\\management\\commands\\create_admin.py,core\\management\\commands\\create_admin.py:<module>.Command.handle,<empty>,ANY,false,12,handle,379,710,5
167503724590,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\management\\commands\\create_admin.py,core\\management\\commands\\create_admin.py:<module>.Command.<body>,<empty>,ANY,false,5,<body>,101,710,2
167503724591,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\management\\commands\\create_admin.py,core\\management\\commands\\create_admin.py:<module>.Command.<metaClassCallHandler>,<empty>,ANY,false,5,<metaClassCallHandler>,101,710,2
167503724592,TYPE_DECL,,<empty>,<empty>,<empty>,1,core\\management\\commands\\create_admin.py,core\\management\\commands\\create_admin.py:<module>.Command.<fakeNew>,<empty>,ANY,false,5,<fakeNew>,101,710,4
167503724593,TYPE_DECL,,<empty>,<empty>,<empty>,5,core\\management\\commands\\create_admin.py,core\\management\\commands\\create_admin.py:<module>.Command.add_arguments<metaClassAdapter>,<empty>,ANY,false,8,add_arguments<metaClassAdapter>,207,379,8
