30064771107,CALL,2,,"ProtocolTypeRouter(tmp1 = {}
tmp1[""http""] = django_asgi_app
tmp1[""websocket""] = UUIDAuthMiddleware(URLRouter(routing.websocket_urlpatterns))
tmp1)",15,DYNAMIC_DISPATCH,,23,<unknownFullName>,ProtocolTypeRouter,,,2,,,,ANY
30064771108,CALL,-1,,"application = ProtocolTypeRouter(tmp1 = {}
tmp1[""http""] = django_asgi_app
tmp1[""websocket""] = UUIDAuthMiddleware(URLRouter(routing.websocket_urlpatterns))
tmp1)",1,STATIC_DISPATCH,,23,<operator>.assignment,<operator>.assignment,,,9,,,,ANY
30064771109,CALL,2,,"import(, os)",1,DYNAMIC_DISPATCH,,1,<unknownFullName>,import,,,2,,,,ANY
30064771110,CALL,-1,,"os = import(, os)",1,STATIC_DISPATCH,,1,<operator>.assignment,<operator>.assignment,,,1,,,,ANY
30064771111,CALL,2,,"import(celery, Celery)",1,DYNAMIC_DISPATCH,,2,<unknownFullName>,import,,,2,,,,ANY
30064771112,CALL,-1,,"Celery = import(celery, Celery)",1,STATIC_DISPATCH,,2,<operator>.assignment,<operator>.assignment,,,2,,,,ANY
30064771113,CALL,2,,"import(celery.schedules, crontab)",1,DYNAMIC_DISPATCH,,3,<unknownFullName>,import,,,2,,,,ANY
30064771114,CALL,-1,,"crontab = import(celery.schedules, crontab)",1,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,,,3,,,,ANY
30064771115,CALL,2,,os.environ,1,STATIC_DISPATCH,,5,<operator>.fieldAccess,<operator>.fieldAccess,,,2,,,,ANY
30064771116,CALL,-1,,tmp0 = os.environ,1,STATIC_DISPATCH,,5,<operator>.assignment,<operator>.assignment,,,1,,,,ANY
30064771117,CALL,-1,,tmp0.setdefault,1,STATIC_DISPATCH,,5,<operator>.fieldAccess,<operator>.fieldAccess,,,0,,,,ANY
30064771118,CALL,-1,,"tmp0.setdefault('DJANGO_SETTINGS_MODULE', 'backend.settings')",1,DYNAMIC_DISPATCH,,5,<unknownFullName>,setdefault,,,2,,,,ANY
30064771119,CALL,2,,Celery('gufsin'),7,DYNAMIC_DISPATCH,,7,<unknownFullName>,Celery,,,2,,,,ANY
30064771120,CALL,-1,,app = Celery('gufsin'),1,STATIC_DISPATCH,,7,<operator>.assignment,<operator>.assignment,,,5,,,,ANY
