137438953514,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0007_remove_device_device_type_device_name_and_more.py,job\\migrations\\0007_remove_device_device_type_device_name_and_more.py:<global>,,<global>,,,1
137438953515,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0008_alter_device_area.py,job\\migrations\\0008_alter_device_area.py:<global>,,<global>,,,1
137438953516,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0009_alter_shift_subjects_alter_shift_unique_together.py,job\\migrations\\0009_alter_shift_subjects_alter_shift_unique_together.py:<global>,,<global>,,,1
137438953517,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0010_alter_device_area.py,job\\migrations\\0010_alter_device_area.py:<global>,,<global>,,,1
137438953518,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0011_alter_platform_notification_url.py,job\\migrations\\0011_alter_platform_notification_url.py:<global>,,<global>,,,1
137438953519,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0012_remove_schedule_required_subjects_count.py,job\\migrations\\0012_remove_schedule_required_subjects_count.py:<global>,,<global>,,,1
137438953520,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0013_alter_shift_order_date.py,job\\migrations\\0013_alter_shift_order_date.py:<global>,,<global>,,,1
137438953521,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0014_device_ip_addr.py,job\\migrations\\0014_device_ip_addr.py:<global>,,<global>,,,1
137438953522,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0015_alter_area_deleted_at_alter_schedule_deleted_at.py,job\\migrations\\0015_alter_area_deleted_at_alter_schedule_deleted_at.py:<global>,,<global>,,,1
137438953523,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0016_remove_device_area_remove_recognition_shift_and_more.py,job\\migrations\\0016_remove_device_area_remove_recognition_shift_and_more.py:<global>,,<global>,,,1
137438953524,NAMESPACE_BLOCK,<empty>,,job\\migrations\\0017_alter_area_description_alter_device_description.py,job\\migrations\\0017_alter_area_description_alter_device_description.py:<global>,,<global>,,,1
137438953525,NAMESPACE_BLOCK,<empty>,,job\\migrations\\__init__.py,job\\migrations\\__init__.py:<global>,,<global>,,,1
137438953526,NAMESPACE_BLOCK,<empty>,,job\\models.py,job\\models.py:<global>,,<global>,,,1
137438953527,NAMESPACE_BLOCK,<empty>,,job\\routing.py,job\\routing.py:<global>,,<global>,,,1
137438953528,NAMESPACE_BLOCK,<empty>,,job\\serializers\\__init__.py,job\\serializers\\__init__.py:<global>,,<global>,,,1
137438953529,NAMESPACE_BLOCK,<empty>,,job\\serializers\\area.py,job\\serializers\\area.py:<global>,,<global>,,,1
137438953530,NAMESPACE_BLOCK,<empty>,,job\\serializers\\distribution_report.py,job\\serializers\\distribution_report.py:<global>,,<global>,,,1
137438953531,NAMESPACE_BLOCK,<empty>,,job\\serializers\\presence_account.py,job\\serializers\\presence_account.py:<global>,,<global>,,,1
137438953532,NAMESPACE_BLOCK,<empty>,,job\\serializers\\schedule.py,job\\serializers\\schedule.py:<global>,,<global>,,,1
137438953533,NAMESPACE_BLOCK,<empty>,,job\\serializers\\serializers.py,job\\serializers\\serializers.py:<global>,,<global>,,,1
137438953534,NAMESPACE_BLOCK,<empty>,,job\\serializers\\shift.py,job\\serializers\\shift.py:<global>,,<global>,,,1
137438953535,NAMESPACE_BLOCK,<empty>,,job\\services\\__init__.py,job\\services\\__init__.py:<global>,,<global>,,,1
137438953536,NAMESPACE_BLOCK,<empty>,,job\\services\\copy_distribution.py,job\\services\\copy_distribution.py:<global>,,<global>,,,1
137438953537,NAMESPACE_BLOCK,<empty>,,job\\services\\create_orbl_origin.py,job\\services\\create_orbl_origin.py:<global>,,<global>,,,1
